Name,Score,Genres,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
Donguri Mori e,Unknown,"Fantasy, Kids",1,1999,Unknown,Unknown,Unknown,Toei Animation,Unknown,15 min.,PG - Children,13818,16016,136,0,5,40,4,41,46,3,Unknown,1,7,3,2,1,Unknown,Unknown,4
AkaKill! Gekijou,6.56,Comedy,24,"Jul 8, 2014 to Dec 14, 2014",Unknown,"White Fox, TOHO animation",Sentai Filmworks,C-Station,Manga,1 min. per ep.,PG-13 - Teens 13 or older,5546,2342,46822,58,1547,35559,959,1535,7222,1681,1722,3429,6060,5578,3463,1214,597,420,317
Nekketsu Jinmen Inu: Life Is Movie,Unknown,"Parody, Comedy, Mystery",3,"Jul 11, 2014 to Sep 26, 2014",Unknown,CoMix Wave Films,Unknown,Unknown,Unknown,16 min. per ep.,PG-13 - Teens 13 or older,11068,11728,591,4,41,100,22,35,393,9,2,Unknown,12,14,10,6,3,2,6
Persona 4 the Animation: Mr. Experiment Shorts,6.11,Comedy,5,1-Apr-13,Unknown,Aniplex,Sentai Filmworks,AIC ASTA,Unknown,2 min. per ep.,PG-13 - Teens 13 or older,7738,6460,5033,6,163,1572,117,119,3062,75,56,85,194,222,152,47,35,33,34
Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami,6.47,School,1,1-Apr-13,Unknown,Aniplex,Unknown,AIC ASTA,Unknown,1 min.,PG-13 - Teens 13 or older,6060,6192,5583,7,160,2111,123,113,3076,100,83,161,299,285,201,50,24,28,15
Megumi to Taiyou: Kajuu Gummi Tweet Love Story,5.17,"Romance, Slice of Life",1,"May 17, 2011 to Nov 8, 2011",Unknown,Unknown,Unknown,Madhouse,Original,3 min.,G - All Ages,10363,10148,1146,0,41,495,24,40,546,13,4,7,25,50,134,47,33,14,13
Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo,5.19,Mystery,1,"Feb 24, 2012 to Mar 15, 2012",Unknown,Unknown,Unknown,"Madhouse, MAPPA",Original,6 min.,G - All Ages,10328,10963,797,0,35,369,24,44,325,8,2,4,22,25,82,48,21,11,10
Shinano Mainichi Shinbun,5.48,Slice of Life,1,"Sep, 2007",Unknown,Unknown,Unknown,Unknown,Original,15 sec.,G - All Ages,9734,8144,2633,1,46,2008,15,24,540,38,27,66,163,292,419,130,81,36,32
Kuusen Madoushi Kouhosei no Kyoukan,6.4,"Action, Drama, Fantasy, Magic, School",12,"Jul 9, 2015 to Sep 24, 2015",Summer 2015,flying DOG,Funimation,Diomedéa,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,6412,748,198059,324,10288,137840,3482,9568,36881,4200,5567,13466,26661,22828,13675,6846,3325,1975,1358
Seireitsukai no Blade Dance Specials,6.67,"Action, Supernatural, Ecchi, Fantasy, School",6,"Oct 8, 2014 to Mar 4, 2015",Unknown,Unknown,Unknown,TNK,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,5030,2938,30660,21,1187,22348,576,367,6182,1067,915,1985,3890,3393,1695,655,279,164,95
Yomiuri Shimbun,4.75,Historical,1,1-Aug-09,Unknown,Unknown,Unknown,Studio Ghibli,Unknown,15 sec.,G - All Ages,10781,10141,1148,0,15,656,14,49,414,14,1,8,23,49,139,66,42,32,41
Futago no Mahoutsukai Lico to Gli,5.37,"Magic, Music",4,"Nov 4, 2013 to Apr 3, 2015",Unknown,Unknown,Unknown,Unknown,Original,1 min. per ep.,G - All Ages,10007,11890,550,1,30,196,22,30,272,8,1,2,15,32,35,10,14,10,11
Dosukoi! Wanpaku Dohyou,Unknown,"Drama, Sports",1,21-May-94,Unknown,Unknown,Unknown,Unknown,Unknown,55 min.,G - All Ages,13855,15432,169,0,8,45,4,47,65,4,Unknown,Unknown,8,2,3,2,1,Unknown,3
Maya no Isshou,Unknown,"Historical, Slice of Life, Drama",1,20-Aug-96,Unknown,Mushi Production,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,15474,14556,221,0,14,42,6,38,121,4,4,3,2,3,7,Unknown,Unknown,1,2
Haikyuu!!: Lev Genzan!,7.73,"Shounen, Sports",1,4-Mar-15,Unknown,Unknown,Unknown,Production I.G,Manga,24 min.,PG-13 - Teens 13 or older,952,1564,87888,190,1299,71990,557,326,13716,6666,6961,13021,13992,4939,1486,287,81,51,99
Isewan Taifuu Monogatari,Unknown,"Historical, Drama",1,4-Nov-89,Unknown,Mushi Production,Unknown,Unknown,Unknown,1 hr. 25 min.,G - All Ages,14622,13650,285,0,12,81,5,37,150,9,3,9,13,6,7,1,1,1,5
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.1,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1,3-Apr-15,Unknown,Unknown,Unknown,Sunrise,Manga,24 min.,PG-13 - Teens 13 or older,415,2985,29965,70,715,19795,352,266,8837,3080,2325,3993,2501,898,352,100,43,21,107
Sensuikan ni Koi wo Shita Kujira no Hanashi,Unknown,Kids,1,23-Nov-89,Unknown,Unknown,Unknown,Unknown,Unknown,15 min.,PG - Children,11884,15245,179,0,9,45,3,49,73,5,Unknown,2,2,4,3,3,Unknown,Unknown,4
Diamond no Ace OVA,7.58,"Comedy, Sports, School, Shounen",3,"Nov 17, 2014 to Mar 17, 2015",Unknown,Unknown,Unknown,"Production I.G, Madhouse",Manga,23 min. per ep.,PG-13 - Teens 13 or older,1326,4323,13739,33,839,8685,880,265,3070,677,825,1818,1938,702,244,40,23,11,18
Gensei Shugoshin P-hyoro Ikka OVA,Unknown,"Adventure, Fantasy, Shoujo",3,1-Sep-88,Unknown,"Bandai Visual, Magic Bus",Unknown,Unknown,Manga,30 min. per ep.,PG-13 - Teens 13 or older,14110,12099,505,1,18,238,11,46,192,120,Unknown,7,12,12,22,8,11,4,8
Pokemon XY: Koukoku no Princess Diancie,6.26,"Comedy, Fantasy, Kids",1,17-Jul-14,Unknown,Unknown,The Pokemon Company International,OLM,Game,5 min.,PG - Children,7078,6305,5347,0,63,3992,76,86,1130,132,98,219,603,715,440,142,53,31,27
Moon Pride,6.84,"Music, Supernatural, Magic, Romance",1,19-Jul-14,Unknown,Starchild Records,Unknown,Toei Animation,Unknown,3 min.,PG-13 - Teens 13 or older,4279,6772,4487,11,61,3724,34,60,608,280,195,378,631,489,300,127,50,30,24
TOTO Green Challenge,5.08,Slice of Life,1,20-Oct-11,Unknown,Unknown,Unknown,Liberty Animation Studio,Unknown,4 min.,G - All Ages,10499,13642,285,0,10,191,4,30,50,6,Unknown,1,11,15,35,15,20,15,19
Doraemon Movie 35: Nobita no Space Heroes,6.88,"Comedy, Kids, Shounen, Space",1,7-Mar-15,Unknown,Unknown,Unknown,Shin-Ei Animation,Unknown,1 hr. 40 min.,PG - Children,4101,8446,2341,3,31,1778,28,73,431,112,81,224,427,242,121,42,15,9,10
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",7.11,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",1,18-Apr-15,Unknown,"Fuji TV, Bandai, Evil Line Records",Funimation,Toei Animation,Manga,1 hr. 47 min.,PG-13 - Teens 13 or older,3167,1224,120580,120,1091,111178,304,280,7727,6125,8870,18792,24092,12227,5730,2938,1392,740,482
Master of Torque 2,5.3,"Action, Sci-Fi",1,27-Mar-15,Unknown,Unknown,Unknown,Shimogumi,Original,23 min.,G - All Ages,10141,11639,612,0,22,288,16,32,254,7,1,3,19,43,64,25,18,11,10
Absolute Duo,6.51,"Action, Harem, Supernatural, Romance, Ecchi, School",12,"Jan 4, 2015 to Mar 22, 2015",Winter 2015,"Half H.P Studio, AT-X, feng, Showgate",Funimation,8bit,Light novel,24 min. per ep.,R - 17+ (violence & profanity),5821,312,425840,1478,18250,320572,8840,21520,56658,12874,17166,37309,64101,51389,31454,15748,7619,4665,2504
Chain Chronicle: Short Animation,5.98,"Action, Adventure, Magic, Fantasy, Shounen",8,"Sep 6, 2014 to Dec 18, 2014",Unknown,"Sotsu, Sega",Unknown,Unknown,Game,5 min. per ep.,PG-13 - Teens 13 or older,8290,5094,9080,6,516,3780,180,221,4383,108,91,213,538,725,521,212,96,71,38
Brothers Conflict OVA,6.64,"Harem, Romance, Shoujo",2,"Dec 19, 2014 to Feb 11, 2015",Unknown,Unknown,Funimation,Brain's Base,Novel,22 min. per ep.,PG-13 - Teens 13 or older,5178,3509,21864,27,423,17342,216,194,3689,938,960,1559,2524,2167,1310,544,340,199,146
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,5.64,"Slice of Life, Comedy",1,10-Oct-14,Unknown,Dream Creation,Unknown,Seven,4-koma manga,3 min.,PG-13 - Teens 13 or older,9320,7579,3305,1,63,2185,55,52,950,54,34,98,247,354,318,169,82,51,45
Shin Strange+ Special,5.77,"Slice of Life, Comedy, Josei",1,19-Oct-14,Unknown,Dream Creation,Unknown,Seven,Manga,3 min.,PG-13 - Teens 13 or older,8921,9251,1699,0,82,624,67,67,859,25,13,29,62,79,79,29,21,16,21
Avengers Confidential: Black Widow to Punisher,6.32,"Action, Sci-Fi, Seinen",1,11-Mar-14,Unknown,Sony Pictures Entertainment,Marvel Entertainment,Madhouse,Other,1 hr. 22 min.,PG-13 - Teens 13 or older,6761,6845,4393,7,128,2892,47,70,1256,67,106,311,537,558,302,143,79,29,15
Tatamp,5.46,Music,1,2011,Unknown,Mirai Film,Unknown,Unknown,Original,5 min.,G - All Ages,9786,12179,485,0,14,358,4,28,81,7,8,17,15,46,66,26,15,19,19
Ishinomori Shoutarou no Rekishi Adventure,Unknown,"Samurai, Historical",5,23-Jan-92,Unknown,"Bandai Visual, Victor Entertainment",Unknown,Unknown,Unknown,30 min. per ep.,G - All Ages,14629,15309,176,0,11,50,3,32,80,6,4,Unknown,1,7,5,2,3,Unknown,3
Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,5.23,Fantasy,1,"Jun 3, 2012 to Jun 9, 2012",Unknown,Unknown,Unknown,"Madhouse, MAPPA",Original,4 min.,G - All Ages,10289,11292,704,0,29,338,18,38,281,6,4,5,16,30,75,38,21,12,12
fake!fake!,6.26,Music,1,30-Apr-14,Unknown,Space Shower Music,Unknown,Unknown,Unknown,3 min.,G - All Ages,7066,9894,1300,0,13,1111,3,18,155,27,34,103,179,227,132,50,21,11,9
Fuusen Inu Tinny,Unknown,"Adventure, Kids",26,"Sep 26, 2014 to Mar 27, 2015",Fall 2014,NHK,Unknown,Steve N' Steven,Picture book,5 min. per ep.,G - All Ages,14028,13528,297,0,19,73,12,76,117,4,Unknown,1,9,9,9,3,1,4,14
Magic Kaito 1412,7.88,"Adventure, Comedy, Romance, Shounen",24,"Oct 4, 2014 to Mar 28, 2015",Fall 2014,"Aniplex, Yomiuri Telecasting, DAX Production",Unknown,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,697,1468,94709,907,7346,53666,5306,5100,23291,5293,7902,14073,10306,3649,1489,558,193,100,79
Yuuki Yuuna wa Yuusha de Aru,7.38,"Slice of Life, Psychological, Drama, Magic, Fantasy",12,"Oct 17, 2014 to Dec 26, 2014",Fall 2014,"Dentsu, Mainichi Broadcasting System, Pony Canyon, Movic, KlockWorx",Ponycan USA,Studio Gokumi,Original,24 min. per ep.,PG-13 - Teens 13 or older,1985,1223,119748,1133,6814,55216,4416,5618,47684,3957,6655,11785,12038,5998,3210,1362,552,266,231
Many Mary,4.83,Music,1,14-Apr-13,Unknown,Space Shower Music,Unknown,Unknown,Unknown,2 min.,G - All Ages,10754,12895,367,0,7,297,2,20,41,9,1,3,5,31,40,45,21,21,40
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.26,"Action, Fantasy, Magic, Supernatural",1,14-Oct-17,Unknown,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,2 hr.,R - 17+ (violence & profanity),255,547,265041,1843,5761,155179,1820,741,101540,19102,34657,42591,18384,5028,1696,674,310,145,265
Moom,Unknown,Kids,1,5-Mar-16,Unknown,"Toho, Marza Animation Planet, Craftar Studios",Unknown,Tonko House,Picture book,13 min.,G - All Ages,15649,13356,312,0,12,115,6,39,140,7,7,6,17,20,10,3,5,2,8
M3: Sono Kuroki Hagane Recap,6.1,"Action, Mecha",1,22-Jul-14,Unknown,flying DOG,Unknown,"Satelight, C2C",Unknown,24 min.,PG-13 - Teens 13 or older,7801,9310,1658,3,63,834,44,74,643,25,22,43,105,120,79,26,22,11,20
Tanu no Magical Holiday,5.5,"Music, Kids",1,10-Jun-14,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,9695,14628,217,0,6,153,1,28,29,5,2,1,4,14,31,13,18,4,14
Momon's Sand Witch Bangai-hen: Tanu no Kyuujitsu,Unknown,"Comedy, Kids",1,25-Jun-14,Unknown,Unknown,Unknown,Unknown,Unknown,2 min.,G - All Ages,15631,15377,172,0,10,68,5,37,52,5,Unknown,1,4,7,7,4,4,1,13
Psychedelic Afternoon,5.16,Music,1,6-Mar-13,Unknown,Unknown,Unknown,Unknown,Unknown,4 min.,G - All Ages,10387,10477,999,0,13,809,4,33,140,14,6,27,51,120,166,81,60,26,33
DRAMAtical Murder: Data_xx_Transitory,6.06,"Sci-Fi, Psychological, Drama, Shounen Ai",1,24-Dec-14,Unknown,"Nitroplus, DIVE II Entertainment, Avex Pictures",Sentai Filmworks,NAZ,Visual novel,24 min.,R - 17+ (violence & profanity),7977,3231,25721,54,333,19883,210,352,4943,1022,876,1452,2345,2468,1776,1116,621,499,549
Yeongsimi,Unknown,"Comedy, School, Slice of Life, Kids",13,1990 to 1991,Unknown,Unknown,Unknown,Unknown,Unknown,24 min. per ep.,G - All Ages,12992,15771,150,0,8,46,4,48,44,4,1,1,8,5,Unknown,4,1,Unknown,3
Vampiyan Kids Specials,Unknown,"Fantasy, Comedy, Kids",3,"Oct 25, 2002 to Nov 25, 2002",Unknown,Unknown,Unknown,Production I.G,Original,23 min. per ep.,G - All Ages,12756,14880,201,0,8,58,4,49,82,4,Unknown,2,7,6,5,2,2,Unknown,3
Vampiyan Kids Promotion,Unknown,"Comedy, Fantasy, Kids",1,1999,Unknown,Unknown,Unknown,Production I.G,Original,2 min.,G - All Ages,12755,14913,199,0,7,84,5,37,66,5,Unknown,Unknown,5,1,14,5,10,3,8
Pink Lady Monogatari: Eikou no Tenshi-tachi Recaps,Unknown,"Music, Slice of Life, Drama",2,"Jun 19, 1979 to Jun 26, 1979",Unknown,Unknown,Unknown,Toei Animation,Unknown,25 min. per ep.,PG - Children,11533,15358,172,1,11,38,3,42,78,3,Unknown,3,2,2,6,1,2,1,4
Mochi Mochi no Ki (OVA),Unknown,"Kids, Drama",1,21-Jun-92,Unknown,Unknown,Unknown,Unknown,Other,20 min.,G - All Ages,15618,16034,136,0,8,38,2,35,53,4,Unknown,2,3,3,4,2,Unknown,1,3
Sekai no Fushigi Tanken Series,Unknown,"Adventure, Fantasy, Historical",10,1978,Unknown,Unknown,Unknown,Unknown,Unknown,25 min. per ep.,G - All Ages,11878,16004,137,0,7,33,3,48,46,3,1,5,2,3,1,Unknown,Unknown,Unknown,2
Genki Genki Non-tan,Unknown,"Kids, Music",15,"Nov 4, 2002 to Dec 4, 2002",Fall 2002,Nippon Columbia,Unknown,Polygon Pictures,Picture book,6 min. per ep.,G - All Ages,14089,15002,192,0,7,67,7,55,56,6,Unknown,1,4,6,10,3,2,1,11
Genki Genki Non-tan (2004),Unknown,"Music, Kids",10,"Apr 20, 2004 to May 3, 2004",Spring 2004,Nippon Columbia,Unknown,Polygon Pictures,Picture book,6 min. per ep.,G - All Ages,14111,15240,181,0,9,69,7,54,42,7,Unknown,7,6,2,8,2,1,Unknown,13
Genki Genki Non-tan: Utaou! Christmas,Unknown,"Music, Kids",1,3-Nov-04,Unknown,Nippon Columbia,Unknown,Polygon Pictures,Unknown,32 min.,G - All Ages,14104,15661,155,0,6,53,5,47,44,6,Unknown,1,6,1,6,2,2,1,8
Genki Genki Non-tan (2006),Unknown,"Music, Kids",10,"Oct 2, 2006 to Oct 13, 2006",Fall 2006,Nippon Columbia,Unknown,Polygon Pictures,Picture book,6 min. per ep.,G - All Ages,14112,15331,176,0,9,66,6,52,43,6,1,7,5,1,10,1,1,Unknown,11
Genki Genki Non-tan: Deka Deka Arigatou,Unknown,"Kids, Music",1,4-Feb-09,Unknown,Unknown,Unknown,Unknown,Unknown,32 min.,G - All Ages,14106,15941,140,0,8,49,4,36,43,5,1,6,3,3,4,Unknown,1,Unknown,7
Genki Genki Non-tan: Spoon Tan Tan Tan,Unknown,"Kids, Music",1,24-Apr-13,Unknown,Nippon Columbia,Unknown,Polygon Pictures,Unknown,30 min.,G - All Ages,14112,15680,156,0,7,53,5,45,46,11,1,1,2,2,5,Unknown,1,3,9
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",Unknown,Kids,1,21-Mar-70,Unknown,Unknown,Unknown,Unknown,Unknown,12 min.,PG - Children,13178,13082,343,8,13,124,9,74,123,14,3,1,7,3,13,3,12,3,18
Futari no Tarou,Unknown,"Adventure, Kids",1,1990,Unknown,Unknown,Unknown,Unknown,Unknown,26 min.,PG - Children,14022,16302,123,0,3,37,4,32,47,8,1,1,6,1,Unknown,1,2,1,1
Space☆Dandy Picture Drama,6.15,"Space, Comedy, Sci-Fi",2,"Jul 25, 2014 to Aug 27, 2014",Unknown,"Bandai Visual, flying DOG",Unknown,Bones,Original,5 min. per ep.,PG-13 - Teens 13 or older,7553,6825,4378,6,204,1780,206,123,2065,82,53,109,235,345,203,94,37,28,19
Toilet no Kamisama,5.83,Music,1,24-Nov-10,Unknown,Unknown,Unknown,Unknown,Music,9 min.,G - All Ages,8757,13231,328,1,9,236,2,20,61,11,13,8,20,32,37,17,12,9,7
Monotonous Purgatory,6.18,Music,1,26-Oct-12,Unknown,Virgin Babylon Records,Unknown,Unknown,Original,6 min.,G - All Ages,7446,9860,1308,0,22,993,11,25,257,20,32,95,169,175,125,48,12,11,21
Sabage-bu! Specials,7.29,"Action, Military, Comedy, Shoujo",6,"Sep 24, 2014 to Feb 20, 2015",Unknown,Lantis,Sentai Filmworks,Pierrot Plus,Manga,10 min. per ep.,PG-13 - Teens 13 or older,2374,4039,16079,16,860,10154,806,284,3975,500,783,1826,2416,1096,429,111,46,17,16
Junjou Romantica 3,7.76,"Comedy, Drama, Romance, Shounen Ai",12,"Jul 9, 2015 to Sep 24, 2015",Summer 2015,"Frontier Works, Lantis, Kadokawa Shoten, Romantica club !!",Funimation,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,893,1500,92499,592,4847,70239,1714,1662,14037,8863,8330,11611,10174,4882,2429,916,461,278,323
Mikan Enikki Specials,6.43,"Slice of Life, Comedy, Shoujo",2,24-Aug-93,Unknown,Unknown,Unknown,Nippon Animation,Manga,20 min. per ep.,G - All Ages,6285,13144,335,0,16,166,7,39,107,14,6,17,25,19,12,6,1,1,5
Kamisama Hajimemashita◎,8.16,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",12,"Jan 6, 2015 to Mar 31, 2015",Winter 2015,"Dentsu, Sotsu",Funimation,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older,350,589,247905,1783,10538,190718,5071,3441,38137,25347,30458,41870,26270,8269,2922,765,265,118,139
Digimon Adventure tri. 1: Saikai,7.48,"Action, Adventure, Comedy, Drama",1,21-Nov-15,Unknown,"Bandai, Ai Addiction",Shout! Factory,Toei Animation,Original,1 hr. 29 min.,PG-13 - Teens 13 or older,1628,1404,99330,311,1883,73791,751,670,22235,5376,7332,14464,14843,6245,2705,1162,444,202,159
AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,Unknown,"Adventure, Fantasy, Kids",26,"Jun 5, 1989 to Dec 5, 1989",Summer 1989,Unknown,Unknown,Unknown,Unknown,24 min. per ep.,PG - Children,13223,11537,631,4,12,174,17,84,344,16,11,16,29,16,13,1,4,3,7
"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",6.89,"Slice of Life, Comedy, Seinen",1,24-Sep-14,Unknown,Unknown,Unknown,feel.,4-koma manga,23 min.,PG-13 - Teens 13 or older,4081,5126,8887,3,128,6987,73,68,1631,197,345,919,1779,1119,444,107,36,20,19
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.64,"Comedy, Drama, Slice of Life",1,4-Apr-15,Unknown,"Shochiku, flying DOG",Unknown,TYO Animations,Original,52 min.,G - All Ages,1183,5073,9250,7,344,3611,182,110,5003,288,423,886,701,282,111,26,11,6,8
Cross Ange: Tenshi to Ryuu no Rondo,7.41,"Action, Mecha, Sci-Fi",25,"Oct 5, 2014 to Mar 29, 2015",Fall 2014,"Starchild Records, Bandai Namco Live Creative, Bandai Namco Games, Docomo Anime Store, Fields, Bandai Channel",Sentai Filmworks,Sunrise,Original,23 min. per ep.,R - 17+ (violence & profanity),1857,958,154537,1399,10657,82433,5115,7861,48471,6642,10292,17390,16807,8116,3933,2408,1252,699,702
Yatterman Specials,6.18,"Adventure, Comedy, Parody",2,"May 5, 2008 to Nov 24, 2008",Unknown,Unknown,Unknown,Tatsunoko Production,Unknown,49 min. per ep.,G - All Ages,7463,12169,487,0,16,173,20,63,215,5,3,17,17,31,25,7,2,2,8
Yowamushi Pedal: Re:RIDE,7.37,"Sports, Drama, Shounen",1,19-Sep-14,Unknown,TOHO animation,Discotek Media,TMS Entertainment,Manga,1 hr. 28 min.,PG-13 - Teens 13 or older,2019,4988,9579,8,197,5803,121,156,3302,337,406,881,1230,449,178,51,15,10,16
Shingeki no Kyojin Season 2,8.45,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",12,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity),128,16,1591506,18262,72638,1337762,15022,12637,153447,239823,308956,304020,135241,38504,12841,5160,1716,839,1804
Shingeki no Kyojin: Kuinaki Sentaku,8.38,"Action, Fantasy, Shoujo",2,"Dec 9, 2014 to Apr 9, 2015",Unknown,"Production I.G, Pony Canyon, Kodansha",Unknown,Wit Studio,Visual novel,27 min. per ep.,R - 17+ (violence & profanity),170,430,323012,1842,8023,263029,2625,996,48339,40240,51238,58642,26743,7084,2306,630,216,114,467
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,7.6,"Drama, Josei",2,"Mar 6, 2015 to Aug 7, 2015",Unknown,"Starchild Records, Kodansha",Unknown,Studio Deen,Manga,39 min. per ep.,PG-13 - Teens 13 or older,1278,5154,8788,12,328,3028,249,168,5015,280,282,627,499,184,80,28,16,8,15
Pokemon Movie 18: Ring no Choumajin Hoopa,6.5,"Adventure, Fantasy, Kids",1,18-Jul-15,Unknown,Unknown,The Pokemon Company International,OLM,Game,1 hr. 18 min.,PG - Children,5905,2880,32039,38,230,27998,150,171,3490,986,1290,2965,5270,4131,2421,1212,589,350,203
Yokohama Bakkure-tai,Unknown,"Action, Comedy, Romance, Shounen",4,"Dec 17, 1993 to Feb 21, 1995",Unknown,Unknown,Unknown,Toei Animation,Unknown,50 min. per ep.,PG-13 - Teens 13 or older,12978,13903,264,0,18,50,4,42,150,7,Unknown,3,4,5,6,Unknown,2,Unknown,3
Zephyr,6.09,"Music, Drama",1,11-Oct-14,Unknown,Unknown,Unknown,Satelight,Unknown,26 min.,PG-13 - Teens 13 or older,7871,8598,2203,7,86,328,39,68,1682,13,3,22,51,56,29,13,10,2,4
Shirobako,8.35,"Comedy, Drama",24,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,"Sotsu, Movic, Warner Bros. Japan, KlockWorx, Showgate, Infinite, Imagine",Sentai Filmworks,P.A. Works,Original,24 min. per ep.,PG-13 - Teens 13 or older,188,387,349479,5909,27270,129452,19563,13141,160053,19955,34458,35151,17270,6063,2944,960,351,169,264
Bonjour♪Koiaji Pâtisserie,6.15,"Comedy, Harem, Romance, Shoujo, Slice of Life",24,"Oct 10, 2014 to Mar 20, 2015",Unknown,"VAP, Nippon Television Network",Unknown,"SILVER LINK., Connect",Game,5 min. per ep.,PG-13 - Teens 13 or older,7565,2333,47250,78,2774,30108,1458,2851,10059,920,1156,2477,4840,5333,4228,1919,833,481,268
PriPara Movie: Mi~nna Atsumare! Prism☆Tours,6.63,"Music, Shoujo",1,7-Mar-15,Unknown,Unknown,Unknown,Tatsunoko Production,Game,1 hr. 30 min.,PG - Children,5223,9079,1819,4,63,861,36,79,780,68,44,70,139,107,76,30,11,7,8
Re-Kan!,6.77,"Comedy, School, Seinen, Supernatural",13,"Apr 3, 2015 to Jun 26, 2015",Spring 2015,"TBS, RAY",Sentai Filmworks,Pierrot Plus,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,4565,2186,52790,60,3849,24853,2801,7094,14193,913,1449,3918,6497,4457,2744,1152,520,255,158
Inugami-san to Nekoyama-san: Nekoyama-san to Onsen Ryokou,6.48,"Comedy, School, Shoujo Ai",1,18-Jul-14,Unknown,"DAX Production, Dream Creation",Unknown,Seven,4-koma manga,4 min.,PG-13 - Teens 13 or older,5996,4420,12988,5,173,10863,88,71,1793,323,413,945,2049,1964,1052,330,180,80,69
Rolling☆Girls,6.6,"Action, Adventure, Slice of Life, Super Power",12,"Jan 11, 2015 to Mar 29, 2015",Winter 2015,"Dentsu, Shochiku, Mainichi Broadcasting System, Pony Canyon, Movic",Funimation,Wit Studio,Original,24 min. per ep.,PG-13 - Teens 13 or older,5387,1711,77126,198,5682,26964,4591,9263,30626,963,1791,4009,6951,5531,3457,1606,704,287,172
Hello Kitty to Issho,5.92,"Kids, Slice of Life, Comedy",16,"Feb 21, 1994 to Oct 21, 1998",Unknown,Sanrio,AnimEigo,Unknown,Unknown,9 min. per ep.,G - All Ages,8479,12565,425,1,20,233,16,44,112,13,Unknown,12,34,33,22,7,5,4,6
Toukiden Kiwami,5.61,"Action, Fantasy, Martial Arts",1,8-Aug-14,Unknown,Unknown,Unknown,Studio 4°C,Unknown,5 min.,PG-13 - Teens 13 or older,9401,10690,900,1,27,626,6,30,211,12,12,27,76,95,108,37,29,21,16
"Wake Up, Girl Zoo!",6.14,Comedy,10,"Oct 22, 2014 to Feb 25, 2015",Unknown,Unknown,Unknown,"Ordet, Studio Moriken",Original,3 min. per ep.,G - All Ages,7627,6372,5213,5,267,2962,181,283,1520,109,84,241,503,595,410,160,97,40,43
Working!!!,8.03,"Comedy, Romance, Seinen, Slice of Life",13,"Jul 5, 2015 to Sep 27, 2015",Summer 2015,Aniplex,Aniplex of America,A-1 Pictures,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,512,766,194901,872,7901,136700,3666,3156,43478,10642,23749,38329,21572,6201,2208,531,196,93,111
Taisei Kensetsu: Vietnam Noi Bai Kuukou,6.16,Drama,1,10-Aug-14,Unknown,CoMix Wave Films,Unknown,Unknown,Unknown,30 sec.,G - All Ages,7538,6929,4194,3,66,3405,23,30,670,90,88,225,474,636,435,119,63,42,24
Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan,5.83,"Adventure, Comedy, Kids, Sci-Fi",1,8-Aug-10,Unknown,Unknown,Unknown,Madhouse,Other,21 min.,G - All Ages,8730,11660,603,1,22,309,11,44,217,21,8,15,19,39,37,25,7,10,6
